time,x,y,z,yaw,pitch,roll,speed
1.32,-12.8642,104.362,2.99E-10,-1.42698,-2.63E-08,-1.10E-08,2.00E+01
1.34,-12.8145,104.019,-7.30E-09,-1.42669,-1.31E-08,-5.49E-09,2.00E+01
1.36,-12.7649,103.677,-7.30E-09,-1.42669,-1.31E-08,-5.49E-09,2.00E+01
1.38,-12.7154,103.336,-1.49E-08,-1.42669,-1.52E-20,-9.89E-15,2.00E+01
1.4,-12.6659,102.996,-7.30E-09,-1.42669,-1.31E-08,-5.49E-09,2.00E+01
1.42,-12.6166,102.656,-7.30E-09,-1.42668,-1.31E-08,-5.49E-09,2.00E+01
1.44,-12.5675,102.317,0,-1.42668,0,0,2.00E+01
1.46,-12.5184,101.979,0,-1.42668,0,0,2.00E+01
1.48,-12.4695,101.642,-7.60E-09,-1.42668,-1.31E-08,5.49E-09,2.00E+01
1.5,-12.4206,101.305,-7.60E-09,-1.42667,-1.31E-08,5.49E-09,2.00E+01
1.52,-12.3719,100.97,7.00E-09,-1.42667,-1.31E-08,1.65E-08,2.00E+01
1.54,-12.3233,100.635,7.00E-09,-1.42667,-1.31E-08,1.65E-08,2.00E+01
1.56,-12.2748,100.301,7.00E-09,-1.42667,-1.31E-08,1.65E-08,2.00E+01
1.58,-12.2264,99.9674,7.00E-09,-1.42667,-1.31E-08,1.65E-08,2.00E+01
1.6,-12.1782,99.6349,1.46E-08,-1.42666,2.25E-14,1.10E-08,2.00E+01
1.62,-12.13,99.3031,7.30E-09,-1.42666,1.31E-08,5.49E-09,2.00E+01
1.64,-12.082,98.9722,7.30E-09,-1.42666,1.31E-08,5.49E-09,2.00E+01
1.66,-12.0341,98.6421,7.30E-09,-1.42666,1.31E-08,5.49E-09,2.00E+01
1.68,-11.9863,98.3127,2.25E-08,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.7,-11.9386,97.9842,2.25E-08,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.72,-11.891,97.6564,2.25E-08,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.74,-11.8436,97.3294,1.52E-08,-1.42666,-2.25E-14,-1.10E-08,2.00E+01
1.76,-11.7962,97.0032,1.52E-08,-1.42666,-2.25E-14,-1.10E-08,2.00E+01
1.78,-11.749,96.6778,7.60E-09,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.8,-11.7019,96.3532,7.60E-09,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.82,-11.6549,96.0294,7.60E-09,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.84,-11.608,95.7064,7.60E-09,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.86,-11.5612,95.3842,7.60E-09,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.88,-11.5146,95.0628,7.60E-09,-1.42666,1.31E-08,-5.49E-09,2.00E+01
1.9,-11.468,94.7421,7.30E-09,-1.42666,1.31E-08,5.49E-09,2.00E+01
1.92,-11.4216,94.4223,-7.30E-09,-1.42666,-1.31E-08,-5.49E-09,2.00E+01
1.94,-11.3753,94.1032,-7.30E-09,-1.42666,-1.31E-08,-5.49E-09,2.00E+01
1.96,-11.3291,93.785,-7.30E-09,-1.42666,-1.31E-08,-5.49E-09,2.00E+01
1.98,-11.283,93.4675,-7.30E-09,-1.42666,-1.31E-08,-5.49E-09,2.00E+01
2,-11.2371,93.1508,9.89E-16,-1.42666,-2.63E-08,-7.58E-15,2.00E+01
2.02,-11.1912,92.8349,9.89E-16,-1.42666,-2.63E-08,-7.58E-15,2.00E+01
2.04,-11.1455,92.5198,-1.46E-08,-1.42666,-2.25E-14,-1.10E-08,2.00E+01
2.06,-11.0999,92.2055,-1.46E-08,-1.42666,-2.25E-14,-1.10E-08,2.00E+01
2.08,-11.0544,91.892,-7.00E-09,-1.42666,1.31E-08,-1.65E-08,2.00E+01
2.1,-11.009,91.5793,-2.22E-08,-1.42666,-1.31E-08,-5.49E-09,2.00E+01
2.12,-10.9637,91.2673,-2.22E-08,-1.42666,-1.31E-08,-5.49E-09,2.00E+01
2.14,-10.9186,90.9562,7.00E-09,-1.42666,-1.31E-08,1.65E-08,2.00E+01
2.16,-10.8735,90.6458,1.46E-08,-1.42666,-2.63E-08,1.10E-08,2.00E+01
2.18,-10.8286,90.3363,7.30E-09,-1.42666,-1.31E-08,5.49E-09,2.00E+01
2.2,-10.7838,90.0275,7.30E-09,-1.42666,-1.31E-08,5.49E-09,2.00E+01
2.22,-10.7391,89.7195,-7.90E-09,-1.42666,1.31E-08,1.65E-08,2.00E+01
2.24,-10.6945,89.4124,-1.52E-08,-1.42666,2.25E-14,1.10E-08,2.00E+01
2.26,-10.65,89.106,-7.90E-09,-1.42666,1.31E-08,1.65E-08,2.00E+01
2.28,-10.6057,88.8004,2.26E-06,-1.42666,3.53E-12,1.72E-06,2.00E+01
2.3,-10.5614,88.4956,5.14E-06,-1.42666,7.97E-12,3.89E-06,2.00E+01
2.32,-10.5173,88.1916,8.05E-06,-1.42666,1.31E-08,6.04E-06,2.00E+01
2.34,-10.4733,87.8883,1.09E-05,-1.42666,1.68E-11,8.20E-06,2.00E+01
2.36,-10.4294,87.5859,1.24E-05,-1.42666,2.46E-06,9.33E-06,2.00E+01
2.38,-10.3856,87.2843,1.39E-05,-1.42666,5.03E-06,1.04E-05,2.00E+01
2.4,-10.342,86.9834,1.53E-05,-1.42666,7.59E-06,1.15E-05,2.00E+01
2.42,-10.2984,86.6834,1.67E-05,-1.42666,1.01E-05,1.25E-05,2.00E+01
