time,x,y,z,yaw,pitch,roll,speed
1.16,-16.2489,128.552,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.18,-16.2479,128.545,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.2,-16.2469,128.538,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.22,-16.2459,128.531,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.24,-16.2449,128.524,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.26,-16.2439,128.516,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.28,-16.2428,128.509,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.3,-16.2417,128.501,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.32,-16.2406,128.493,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.34,-16.2395,128.485,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.36,-16.2384,128.477,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.38,-16.2372,128.469,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.4,-16.2361,128.46,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.42,-16.2349,128.452,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.44,-16.2337,128.443,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.46,-16.2325,128.435,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.48,-16.2313,128.426,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.5,-16.23,128.417,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.52,-16.2288,128.408,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.54,-16.2275,128.399,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.56,-16.2262,128.39,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.58,-16.2249,128.38,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.6,-16.2236,128.371,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.62,-16.2222,128.361,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.64,-16.2209,128.351,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.66,-16.2195,128.341,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.68,-16.2181,128.331,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.7,-16.2167,128.321,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.72,-16.2153,128.311,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.74,-16.2138,128.301,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.76,-16.2123,128.29,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.78,-16.2109,128.28,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.8,-16.2094,128.269,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.82,-16.2079,128.258,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.84,-16.2063,128.247,1.49E-08,-1.43215,1.54E-20,9.89E-15,0.00E+00
1.86,-16.2048,128.236,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.88,-16.2032,128.225,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.9,-16.2017,128.214,1.49E-08,-1.43215,1.54E-20,9.89E-15,0.00E+00
1.92,-16.2001,128.202,1.49E-08,-1.43215,1.53E-20,9.89E-15,0.00E+00
1.94,-16.1985,128.191,1.49E-08,-1.43215,1.52E-20,9.89E-15,0.00E+00
1.96,-16.1968,128.179,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
1.98,-16.1952,128.167,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2,-16.1935,128.156,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.02,-16.1919,128.144,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.04,-16.1902,128.131,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.06,-16.1885,128.119,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.08,-16.1867,128.107,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.1,-16.185,128.094,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.12,-16.1832,128.082,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.14,-16.1815,128.069,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,0.00E+00
2.16,-16.1797,128.056,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.18,-16.1779,128.043,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.2,-16.176,128.03,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.22,-16.1742,128.017,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.24,-16.1723,128.004,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.26,-16.1705,127.99,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.28,-16.1686,127.977,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.3,-16.1667,127.963,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.32,-16.1647,127.949,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.34,-16.1628,127.935,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.36,-16.1609,127.921,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
2.38,-16.1589,127.907,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,0.00E+00
