time,x,y,z,yaw,pitch,roll,speed
1.16,-16.2329,128.437,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.18,-16.2316,128.428,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.2,-16.2304,128.419,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.22,-16.2291,128.41,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.24,-16.2278,128.401,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.26,-16.2264,128.391,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.28,-16.2251,128.382,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.3,-16.2238,128.372,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.32,-16.2224,128.362,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.34,-16.221,128.352,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.36,-16.2196,128.342,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.38,-16.2182,128.332,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.4,-16.2167,128.322,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.42,-16.2153,128.311,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
1.44,-16.2138,128.301,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.46,-16.2123,128.29,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.48,-16.2108,128.279,1.49E-08,-1.43215,1.54E-20,9.89E-15,1.00E-01
1.5,-16.2093,128.268,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.52,-16.2078,128.257,1.49E-08,-1.43215,1.54E-20,9.89E-15,1.00E-01
1.54,-16.2062,128.246,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.56,-16.2046,128.235,1.49E-08,-1.43215,1.52E-20,9.89E-15,1.00E-01
1.58,-16.203,128.224,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.6,-16.2014,128.212,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.62,-16.1998,128.201,1.49E-08,-1.43215,1.53E-20,9.89E-15,1.00E-01
1.64,-16.1982,128.189,1.49E-08,-1.43215,1.52E-20,9.89E-15,1.00E-01
1.66,-16.1965,128.177,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.68,-16.1949,128.165,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.7,-16.1932,128.153,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.72,-16.1915,128.141,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.74,-16.1898,128.128,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.76,-16.188,128.116,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.78,-16.1863,128.103,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.8,-16.1845,128.091,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.82,-16.1827,128.078,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.84,-16.1809,128.065,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
1.86,-16.1791,128.052,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
1.88,-16.1773,128.039,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
1.9,-16.1754,128.026,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
1.92,-16.1735,128.012,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
1.94,-16.1717,127.999,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
1.96,-16.1698,127.985,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
1.98,-16.1678,127.971,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2,-16.1659,127.957,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.02,-16.1639,127.943,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.04,-16.162,127.929,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.06,-16.16,127.915,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.08,-16.158,127.901,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.1,-16.156,127.886,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.12,-16.1539,127.872,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.14,-16.1519,127.857,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.16,-16.1498,127.842,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.18,-16.1477,127.827,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.2,-16.1456,127.812,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.22,-16.1435,127.797,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.24,-16.1414,127.782,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.26,-16.1392,127.766,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.28,-16.1371,127.751,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.3,-16.1349,127.735,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.32,-16.1327,127.719,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.34,-16.1305,127.704,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,1.00E-01
2.36,-16.1282,127.688,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.38,-16.126,127.671,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.4,-16.1237,127.655,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.42,-16.1214,127.639,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.44,-16.1191,127.622,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.46,-16.1168,127.606,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.48,-16.1145,127.589,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.5,-16.1121,127.572,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E-01
2.52,-16.1098,127.555,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.54,-16.1074,127.538,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.56,-16.105,127.521,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.58,-16.1026,127.504,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.6,-16.1001,127.486,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.62,-16.0977,127.469,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.64,-16.0952,127.451,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.66,-16.0927,127.433,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.68,-16.0902,127.415,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.7,-16.0877,127.397,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.72,-16.0851,127.378,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.74,-16.0824,127.359,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.76,-16.0797,127.34,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.78,-16.0769,127.32,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
2.8,-16.0741,127.3,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.82,-16.0712,127.279,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.84,-16.0683,127.258,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.86,-16.0653,127.236,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.88,-16.0622,127.214,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.9,-16.0591,127.192,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.92,-16.0559,127.17,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.94,-16.0527,127.146,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.96,-16.0495,127.123,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
2.98,-16.0461,127.099,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3,-16.0427,127.075,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.02,-16.0393,127.05,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.04,-16.0358,127.025,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.06,-16.0323,127,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.08,-16.0287,126.974,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.1,-16.025,126.948,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.12,-16.0213,126.921,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.14,-16.0175,126.894,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.16,-16.0137,126.867,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.18,-16.0098,126.839,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.2,-16.0059,126.811,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.22,-16.0019,126.782,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.24,-15.9978,126.753,1.49E-08,-1.43215,-2.63E-08,2.31E-15,1.00E+00
3.26,-15.9937,126.724,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.28,-15.9896,126.694,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.3,-15.9854,126.664,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.32,-15.9811,126.633,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.34,-15.9768,126.602,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.36,-15.9724,126.571,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.38,-15.968,126.539,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.4,-15.9635,126.507,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.42,-15.9589,126.474,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.44,-15.9543,126.441,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,1.00E+00
3.46,-15.9497,126.408,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.48,-15.945,126.374,1.49E-08,-1.43215,-1.52E-20,-9.89E-15,1.00E+00
3.5,-15.9402,126.34,1.49E-08,-1.43215,-1.54E-20,-9.89E-15,1.00E+00
3.52,-15.9354,126.305,1.49E-08,-1.43215,-1.52E-20,-9.89E-15,1.00E+00
3.54,-15.9305,126.271,1.49E-08,-1.43215,-1.52E-20,-9.89E-15,1.00E+00
3.56,-15.9256,126.235,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.58,-15.9206,126.199,1.49E-08,-1.43215,-1.55E-20,-9.89E-15,1.00E+00
3.6,-15.9155,126.163,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.62,-15.9104,126.127,1.49E-08,-1.43215,-1.51E-20,-9.89E-15,1.00E+00
3.64,-15.9053,126.09,1.49E-08,-1.43215,-1.52E-20,-9.89E-15,1.00E+00
3.66,-15.9001,126.053,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.68,-15.8948,126.015,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.7,-15.8895,125.977,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.72,-15.8841,125.938,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
3.74,-15.8787,125.899,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,1.00E+00
